Date,Open,High,Low,Close,Volume
2024-01-30,1700.0,1720.0,1700.0,1710.0,20
2024-01-31,1701.0,1701.0,1701.0,1701.0,5
2024-02-01,1700.0,1700.0,1700.0,1700.0,10
2024-02-06,1660.0,1660.0,1660.0,1660.0,10
2024-02-22,1745.0,1745.0,1700.0,1725.3,16
2024-02-25,1750.0,1850.0,1750.0,1800.0,30
2024-02-27,1949.8,1950.0,1949.8,1950.0,11
2024-02-28,2145.0,2145.0,2145.0,2145.0,3
2024-02-29,2250.0,2250.0,2250.0,2250.0,2
2024-03-04,2362.0,2362.0,2362.0,2362.0,4
2024-03-05,2590.0,2590.0,2590.0,2590.0,10
2024-03-06,2700.0,2700.0,2700.0,2700.0,2
2024-03-07,2830.0,2830.0,2830.0,2830.0,2
2024-03-11,3099.0,3100.0,3099.0,3099.6,7
2024-03-12,3000.0,3000.0,3000.0,3000.0,2
2024-03-14,3000.0,3000.0,2980.0,2990.0,3
2024-03-21,3150.0,3150.0,3150.0,3150.0,12
2024-03-24,3299.9,3299.9,3299.9,3299.9,4
2024-03-27,3464.8,3500.0,3464.8,3482.4,2
2024-03-28,3830.6,3830.6,3830.6,3830.6,1
2024-03-31,4000.0,4000.0,3999.0,3999.5,2
2024-04-01,4250.0,4399.4,4250.0,4318.5,27
2024-04-02,4750.3,4750.3,4750.3,4750.3,1
2024-04-03,5100.0,5225.3,5100.0,5183.5,3
2024-04-04,5500.0,5500.0,5000.1,5250.1,2
2024-04-28,5775.0,5775.0,5775.0,5775.0,1
2024-06-27,6351.7,6352.0,6351.7,6351.9,2
2024-07-07,6200.0,6200.0,6200.0,6200.0,1
2024-07-09,5580.0,5580.0,5580.0,5580.0,3
2024-08-01,5580.1,5580.1,5580.1,5580.1,1
2024-08-07,6137.0,6137.0,6137.0,6137.0,1
2024-11-05,3000.0,4800.0,3000.0,3300.0,6
2024-11-07,3300.0,3300.0,3135.0,3245.0,3
2024-11-10,3100.0,3100.0,3100.0,3100.0,2
2024-11-14,2790.1,2790.1,2790.1,2790.1,1
2024-11-17,2800.0,2800.0,2800.0,2800.0,1
2024-11-20,2600.1,2600.1,2600.0,2600.1,2
2024-11-28,2340.1,2340.1,2340.1,2340.1,1
2024-12-01,2106.1,2106.1,2106.1,2106.1,2
2024-12-03,1900.0,1900.0,1900.0,1900.0,29
2024-12-05,1710.0,1710.0,1710.0,1710.0,1
2024-12-08,1603.2,1603.2,1540.0,1592.7,12
2024-12-09,1580.0,1585.0,1580.0,1583.9,22
2024-12-10,1425.6,1425.6,1425.6,1425.6,21
2024-12-12,1568.1,1568.1,1568.1,1568.1,1
2024-12-17,1450.1,1450.1,1450.1,1450.1,1
2024-12-19,1500.0,1500.0,1500.0,1500.0,2
2024-12-22,1350.0,1350.0,1350.0,1350.0,18
2024-12-26,1230.0,1230.0,1230.0,1230.0,1
2024-12-29,1135.1,1135.1,1135.1,1135.1,1
2024-12-30,1182.1,1182.1,1182.1,1182.1,1
2025-01-01,1122.0,1122.0,1122.0,1122.0,1
2025-01-06,1228.0,1228.0,1228.0,1228.0,1
2025-01-07,1344.0,1344.0,1344.0,1344.0,1
2025-01-08,1478.0,1478.0,1478.0,1478.0,1
2025-01-09,1625.8,1625.8,1625.8,1625.8,1
2025-01-13,1625.8,1788.3,1625.8,1734.0,3
2025-01-16,1899.0,1907.3,1899.0,1900.3,7
2025-01-27,2080.0,2090.3,2050.0,2084.6,24
2025-01-29,2290.0,2290.0,2290.0,2290.0,2
2025-02-03,2450.0,2450.0,2450.0,2450.0,3
2025-02-05,2500.0,2500.0,2500.0,2500.0,4
2025-02-10,2500.0,2500.0,2500.0,2500.0,1
2025-03-03,2250.0,2250.0,2250.0,2250.0,10
2025-03-04,2025.0,2025.0,2025.0,2025.0,2
2025-03-11,2225.0,2225.0,2225.0,2225.0,14
2025-05-06,2100.0,2100.0,2100.0,2100.0,4
2025-05-08,2001.0,2001.0,2001.0,2001.0,2
2025-07-03,2201.0,2201.0,2201.0,2201.0,1
2025-07-14,2050.0,2050.0,2050.0,2050.0,3
2025-07-24,1850.0,1850.0,1850.0,1850.0,2
2025-07-27,2035.0,2035.0,2035.0,2035.0,2
2025-08-12,1835.0,1835.0,1835.0,1835.0,5
2025-08-14,2018.0,2018.0,2018.0,2018.0,5
2025-08-19,1820.0,1820.0,1820.0,1820.0,33
2025-08-21,2002.0,2002.0,2002.0,2002.0,10
2025-08-24,1821.0,1821.0,1821.0,1821.0,6
2025-08-25,2000.0,2000.0,2000.0,2000.0,10
2025-09-11,2150.0,2150.0,2150.0,2150.0,2
2025-09-17,2257.0,2257.0,2257.0,2257.0,2
2025-09-18,2400.0,2400.0,2400.0,2400.0,1
2025-10-08,2400.0,2400.0,2400.0,2400.0,2
2025-10-09,2400.0,2400.0,2400.0,2400.0,5
2025-10-12,2280.0,2280.0,2280.0,2280.0,46
2025-10-14,2166.2,2166.2,2166.0,2166.1,3
2025-11-04,2200.0,2200.0,2200.0,2200.0,1
2025-12-28,2200.0,2200.0,2200.0,2200.0,15
