Date,DayOfWeek,IsWeekend,Available_Any,Available_Unadjusted,Available_Adjusted,Available_Both,Coverage_Ratio_Full
2012-10-01,Monday,False,256,256,256,256,0.5267
2012-10-02,Tuesday,False,259,259,259,259,0.5329
2012-10-03,Wednesday,False,255,255,255,255,0.5247
2012-10-04,Thursday,False,257,257,257,257,0.5288
2012-10-05,Friday,True,0,0,0,0,0.0
2012-10-06,Saturday,True,0,0,0,0,0.0
2012-10-07,Sunday,False,255,255,255,255,0.5247
2012-10-08,Monday,False,254,254,254,254,0.5226
2012-10-09,Tuesday,False,258,258,258,258,0.5309
2012-10-10,Wednesday,False,255,255,255,255,0.5247
2012-10-11,Thursday,False,253,253,253,253,0.5206
2012-10-12,Friday,True,0,0,0,0,0.0
2012-10-13,Saturday,True,0,0,0,0,0.0
2012-10-14,Sunday,False,252,252,252,252,0.5185
2012-10-15,Monday,False,253,253,253,253,0.5206
2012-10-16,Tuesday,False,257,257,257,257,0.5288
2012-10-17,Wednesday,False,259,259,259,259,0.5329
2012-10-18,Thursday,False,253,253,253,253,0.5206
2012-10-19,Friday,True,0,0,0,0,0.0
2012-10-20,Saturday,True,0,0,0,0,0.0
2012-10-21,Sunday,False,247,247,247,247,0.5082
2012-10-22,Monday,False,253,253,253,253,0.5206
2012-10-23,Tuesday,False,257,257,257,257,0.5288
2012-10-24,Wednesday,False,0,0,0,0,0.0
2012-10-25,Thursday,False,0,0,0,0,0.0
2012-10-26,Friday,True,0,0,0,0,0.0
2012-10-27,Saturday,True,0,0,0,0,0.0
2012-10-28,Sunday,False,0,0,0,0,0.0
2012-10-29,Monday,False,0,0,0,0,0.0
2012-10-30,Tuesday,False,253,253,253,253,0.5206
2012-10-31,Wednesday,False,255,255,255,255,0.5247
2012-11-01,Thursday,False,254,254,254,254,0.5226
2012-11-02,Friday,True,0,0,0,0,0.0
2012-11-03,Saturday,True,0,0,0,0,0.0
2012-11-04,Sunday,False,255,255,255,255,0.5247
2012-11-05,Monday,False,250,250,250,250,0.5144
2012-11-06,Tuesday,False,256,256,256,256,0.5267
2012-11-07,Wednesday,False,253,253,253,253,0.5206
2012-11-08,Thursday,False,250,250,250,250,0.5144
2012-11-09,Friday,True,0,0,0,0,0.0
2012-11-10,Saturday,True,0,0,0,0,0.0
2012-11-11,Sunday,False,254,254,254,254,0.5226
2012-11-12,Monday,False,251,251,251,251,0.5165
2012-11-13,Tuesday,False,254,254,254,254,0.5226
2012-11-14,Wednesday,False,253,253,253,253,0.5206
2012-11-15,Thursday,False,247,247,247,247,0.5082
2012-11-16,Friday,True,0,0,0,0,0.0
2012-11-17,Saturday,True,0,0,0,0,0.0
2012-11-18,Sunday,False,250,250,250,250,0.5144
2012-11-19,Monday,False,252,252,252,252,0.5185
2012-11-20,Tuesday,False,256,256,256,256,0.5267
2012-11-21,Wednesday,False,248,248,248,248,0.5103
2012-11-22,Thursday,False,253,253,253,253,0.5206
2012-11-23,Friday,True,0,0,0,0,0.0
2012-11-24,Saturday,True,0,0,0,0,0.0
2012-11-25,Sunday,False,0,0,0,0,0.0
2012-11-26,Monday,False,244,244,244,244,0.5021
2012-11-27,Tuesday,False,249,249,249,249,0.5123
2012-11-28,Wednesday,False,253,253,253,253,0.5206
2012-11-29,Thursday,False,252,252,252,252,0.5185
2012-11-30,Friday,True,0,0,0,0,0.0
2012-12-01,Saturday,True,0,0,0,0,0.0
2012-12-02,Sunday,False,249,249,249,249,0.5123
2012-12-03,Monday,False,250,250,250,250,0.5144
2012-12-04,Tuesday,False,242,242,242,242,0.4979
2012-12-05,Wednesday,False,253,253,253,253,0.5206
2012-12-06,Thursday,False,248,248,248,248,0.5103
2012-12-07,Friday,True,0,0,0,0,0.0
2012-12-08,Saturday,True,0,0,0,0,0.0
2012-12-09,Sunday,False,246,246,246,246,0.5062
2012-12-10,Monday,False,247,247,247,247,0.5082
2012-12-11,Tuesday,False,249,249,249,249,0.5123
2012-12-12,Wednesday,False,247,247,247,247,0.5082
2012-12-13,Thursday,False,243,243,243,243,0.5
2012-12-14,Friday,True,0,0,0,0,0.0
2012-12-15,Saturday,True,0,0,0,0,0.0
2012-12-16,Sunday,False,0,0,0,0,0.0
2012-12-17,Monday,False,246,246,246,246,0.5062
2012-12-18,Tuesday,False,252,252,252,252,0.5185
2012-12-19,Wednesday,False,253,253,253,253,0.5206
2012-12-20,Thursday,False,247,247,247,247,0.5082
2012-12-21,Friday,True,0,0,0,0,0.0
2012-12-22,Saturday,True,0,0,0,0,0.0
2012-12-23,Sunday,False,250,250,250,250,0.5144
2012-12-24,Monday,False,249,249,249,249,0.5123
2012-12-25,Tuesday,False,0,0,0,0,0.0
2012-12-26,Wednesday,False,249,249,249,249,0.5123
2012-12-27,Thursday,False,251,251,251,251,0.5165
2012-12-28,Friday,True,0,0,0,0,0.0
